% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=556056, Fri Oct 18 16:06:13 2019, <python>{}</python>
1 30 0.2403670828560591 1.0000437509570452 -0.9596371884789326 -9.5963718847893265e-01 -0.9383219950864105 -0.6448979594810209   
2 60 0.2505417686380003 1.4959730774925903 -0.9598639458485472 -9.5986394584854717e-01 -0.9319727891697094 -0.8115646256340875   
3 90 0.2870092515023329 1.6006002156495798 -0.9630385490501819 -9.6303854905018194e-01 -0.9412698415671887 -0.4494331068462796   
4 120 0.31284072135607816 1.6326278776247998 -0.9639455782312926 -9.6394557823129257e-01 -0.939002267384475 -0.050340136054421766   
5 150 0.3035178714888787 1.8763953575036678 -0.9639455782312926 -9.5941043059571796e-01 -0.9469387757805199 -0.05442176870748299   
6 180 0.30685875951258046 2.1236057666251464 -0.9639455782312926 -9.5804988643209410e-01 -0.9417233560361019 -0.7299319726674736   
7 210 0.31524287349083135 2.2282220288516723 -0.9657596374585244 -9.6575963745852444e-01 -0.9480725624123398 -0.5496598637563571   
8 240 0.29775040576946943 2.7203684643764885 -0.9657596374585244 -9.6326530639276486e-01 -0.9485260773678215 -0.7639455780420714   
9 270 0.25992312135942297 2.858952141435231 -0.9657596374585244 -9.6439909324083739e-01 -0.9478458053130412 -0.7702947849048779   
10 300 0.22083859726550273 3.2618542445643506 -0.9668934237929969 -9.6689342379299692e-01 -0.9521541947950852 -0.8755102041356958   
11 330 0.2443400353983138 3.4208771861115586 -0.9741496601342614 -9.7414966013426141e-01 -0.9498866213422243 -0.7417233563875125   
12 360 0.22574978463367207 3.9296455591027457 -0.9741496601342614 -9.7278911540297419e-01 -0.9569161000435584 -0.8927437644696831   
13 390 0.21274154241488313 4.000126534922474 -0.9741496601342614 -9.6825396825396826e-01 -0.9562358274211148 -0.8859410431379634   
14 420 0.2153719744080349 4.543893099933376 -0.9741496601342614 -9.6916099773242625e-01 -0.9546485258608448 -0.933333333360365   
15 450 0.1827271759273279 4.7525229503973785 -0.9741496601342614 -9.7097505668934236e-01 -0.9557823129522016 -0.921088435157897   
16 480 0.14974999796126964 4.975175616805137 -0.9741496601342614 -9.6712018140589573e-01 -0.957823129035448 -0.9448979589944524   
17 510 0.14576748847725568 4.977291913536066 -0.9741496601342614 -9.6916099773242625e-01 -0.9600907032181617 -0.9503401360544218   
18 540 0.14904901905575763 5.153744476216954 -0.9741496601342614 -9.6802721064106945e-01 -0.9594104311093181 -0.9018140587136318   
19 570 0.15521541406534153 5.342899317286795 -0.9741496601342614 -9.7256235827664395e-01 -0.9623582769143068 -0.9231292517277119   
20 600 0.17271298296308887 5.302496299530316 -0.9741496601342614 -9.7233560090702953e-01 -0.9600907029478458 -0.9267573698848284   
