% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=556056, Fri Oct 18 16:06:13 2019
1 30 -0.1971960418044303 -0.0018035223254000915 0.01378814125255259 0.10465565546894312 1 1 1 1 1 1 1 1
2 60 -0.23444725197893182 -0.0029667664732166673 0.013118785126005332 0.17058662771218117 1 1 1 1 1 1 1 1
3 90 -0.2212174641806553 -0.0005523198188043626 0.016460038886747855 0.16826816905702544 1 1 1 1 1 1 1 1
4 120 -0.25748924625828745 -0.031640451845638184 0.024442078895914723 0.21172898959426795 1 1 1 1 1 1 1 1
5 150 -0.3770291355639482 -0.045587214437108586 0.020667247686414862 0.22957693399035686 1 1 1 1 1 1 1 1
6 180 -0.36946466869335326 -0.03393204526043003 0.025002435771282278 0.24627662710912634 1 1 1 1 1 1 1 1
7 210 -0.3840282711718974 -0.01911774794564015 0.0023104586971145554 0.3214675070973708 1 1 1 1 1 1 1 1
8 240 -0.30734917431069864 -0.02607928322618318 0.017320119768747803 0.352742992836833 1 1 1 1 1 1 1 1
9 270 -0.3300764480620484 -0.011852486800122162 0.011414079141138803 0.40496560490302963 1 1 1 1 1 1 1 1
10 300 -0.30358124139684517 -0.008970082151395187 0.01102693451694621 0.4454324427210867 1 1 1 1 1 1 1 1
11 330 -0.338127804545157 -0.00462019231860539 0.010587771841337934 0.3246395795903435 1 1 1 1 1 1 1 1
12 360 -0.33353183207689996 -0.0011795718130256003 0.0053717878642929855 0.3125080083847467 1 1 1 1 1 1 1 1
13 390 -0.3743681206864915 -0.030000501936533752 0.04021288247094517 0.34793851361889183 1 1 1 1 1 1 1 1
14 420 -0.3875439432416899 -0.005824963447610191 0.02812714975889882 0.37409802201919573 1 1 1 1 1 1 1 1
15 450 -0.39217057369747466 -0.0053291842483621085 0.01691475182322562 0.4441342260577871 1 1 1 1 1 1 1 1
16 480 -0.43347471544367044 -0.01096679978243663 0.0056822654193780355 0.47471101154131806 1 1 1 1 1 1 1 1
17 510 -0.44974258753035606 -0.026950124417863215 0.002987097286490821 0.5623649190742736 1 1 1 1 1 1 1 1
18 540 -0.45478703032920587 -0.014534108369646997 0.0131679524709173 0.6001795238025036 1 1 1 1 1 1 1 1
19 570 -0.4243408077188589 -0.018746873050940784 0.03535768650989013 0.6145771968416582 1 1 1 1 1 1 1 1
20 600 -0.40692027699207545 -0.0014617005022140434 0.033567464325116245 0.5726306806206277 1 1 1 1 1 1 1 1
