% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=556056, Fri Oct 18 16:06:13 2019, <python>{}</python>
1 30 0.2403670828560591 0 0 0.24366231437982608 0.2598253805696538 0.2266179836927773 0.24159537929695202 0.25351126461180973 0.24427939898243958 0.22687172440593498 0.2259136760768216
2 60 0.2505417686380003 0 0 0.27656926973531615 0.28327418802704735 0.22559114980090464 0.2465007660282559 0.2631412393960511 0.24585539257789613 0.2165023082307295 0.25208493541635857
3 90 0.2870092515023329 0 0 0.3176859031521043 0.3237471785449621 0.2437431280015664 0.29012931767633293 0.2925902193105702 0.28055160454295797 0.24022795139436548 0.2794207001550683
4 120 0.31284072135607816 0 0 0.3440472497152188 0.3657506419933345 0.26539467467280103 0.3278838784515269 0.3036655771656921 0.30644951121797565 0.24841562065839365 0.3133335524903383
5 150 0.3035178714888787 0 0 0.3197785400996436 0.36323752464107617 0.259684297471363 0.3030314603983451 0.3156662917977053 0.2903452150884185 0.22983815291911633 0.29965971299724614
6 180 0.30685875951258046 0 0 0.31278947235000787 0.3648546388520449 0.2840179548945162 0.29656545933813233 0.31634707020070096 0.2682799944452807 0.22441989269456875 0.2878873739542581
7 210 0.31524287349083135 0 0 0.33345179298306943 0.37761678040417 0.2876725247658646 0.30236670806680976 0.33292289675401004 0.2813706706597422 0.2130600859767495 0.30662873975470617
8 240 0.29775040576946943 0 0 0.3172751489685193 0.3677192008733764 0.26031219968487607 0.275640838708042 0.29506761254650304 0.2598100788593906 0.19497485278688095 0.3055061746290518
9 270 0.25992312135942297 0 0 0.27192676207870786 0.32839626472440364 0.2193001409289734 0.2145737759384441 0.25632948043149467 0.22072933904599276 0.15293097708688314 0.2596560461874829
10 300 0.22083859726550273 0 0 0.2163213551239425 0.27040097321991474 0.18332927925074768 0.17180961112329124 0.2196515804646486 0.17988473830238205 0.12171621047599152 0.22388525429582573
11 330 0.2443400353983138 0 0 0.24245372160418757 0.3127644378326158 0.19353527856829283 0.18922048575649006 0.2290670339620319 0.22441200396597258 0.11739732182262239 0.2434888995029115
12 360 0.22574978463367207 0 0 0.22118705704310443 0.2767084034444909 0.1696783708436704 0.1709961353359454 0.2058465712046615 0.20157832863159025 0.100826648273421 0.22253488816585124
13 390 0.21274154241488313 0 0 0.21102570836413126 0.27088470740491083 0.15662411447050148 0.15781428397455233 0.19291334678075528 0.19457923349300837 0.09083184237781818 0.2053554649976831
14 420 0.2153719744080349 0 0 0.22685042271564648 0.2728112184423275 0.14776784882905436 0.1577960728021613 0.1875434729840753 0.20219628879564636 0.08670146975184229 0.20670938707725814
15 450 0.1827271759273279 0 0 0.1890221228853509 0.22298477748401052 0.12336404784114624 0.13729062973574924 0.15814590046817173 0.1636108464688178 0.07411330964054874 0.16886202711110265
16 480 0.14974999796126964 0 0 0.14932079901096357 0.17595557849931442 0.09904949729614232 0.10890714862360053 0.1239338779297178 0.13497725531055785 0.05865720107602805 0.13775271174002035
17 510 0.14576748847725568 0 0 0.14277197291021068 0.16127810017741398 0.09449935749532613 0.10446657128335267 0.13260232008086642 0.13645995956976154 0.05910892203350397 0.12822930562564325
18 540 0.14904901905575763 0 0 0.14141512099064163 0.16329159260668058 0.09794291457904748 0.11066670515432571 0.13685181501580346 0.13806135699481867 0.061652378208360545 0.12779819659753974
19 570 0.15521541406534153 0 0 0.1420534118577946 0.16665209227616284 0.10293368540511208 0.11279563206791109 0.1504763079729274 0.13982255913277727 0.06614146606329377 0.12976144141924267
20 600 0.17271298296308887 0 0 0.16109236562120008 0.18823108641676137 0.11779845454864128 0.11801699240942043 0.1664877142035858 0.15000687202797425 0.07266291295370636 0.1468418094070812
